Entry	Cross-reference (Gramene)
A0A060D8S8	
A0A060D8V5	Zm00001d034109_T001;
A0A060D8W1	
A0A060D8X1	
A0A060D8Y4	Zm00001d022461_T001;
A0A060D8Z5	
A0A060D909	Zm00001d015560_T002;
A0A060D914	
A0A060D918	Zm00001d044546_T001;
A0A060D932	Zm00001d005609_T001;
A0A060D937	Zm00001d007891_T001;
A0A060D947	
A0A060D954	
A0A060D959	Zm00001d031329_T001;Zm00001d031329_T005;Zm00001d031329_T006;
A0A060D9F7	
A0A060D9H5	Zm00001d021390_T001;
A0A068EY47	
A0A068EY53	
A0A068EYS7	
A0A068EYT2	
A0A068EZV5	
A0A068EZW2	
A0A068F118	
A0A068F124	
A0A068F557	
A0A068F561	
A0A068F7C8	
A0A075FJX7	
A0A075T3E7	
A0A075T3F1	Zm00001d028793_T001;
A0A075T3H0	Zm00001d028574_T001;
A0A075T3H9	
A0A075T6N0	
A0A075T6N5	
A0A075T7D0	
A0A075T7E1	
A0A075T8H9	
A0A075T8J6	Zm00001d044015_T001;
A0A075T8K1	Zm00001d038846_T001;
A0A075TDL6	
A0A075TDM8	
A0A076YG33	
A0A076YHT4	
A0A076YHT9	Zm00001d019033_T001;
A0A076YJ24	
A0A076YJ36	
A0A076YKT8	
A0A076YMH6	
A0A076YMI2	Zm00001d019019_T001;
A0A077D360	Zm00001d005775_T002;Zm00001d005775_T005;
A0A077D597	
A0A077D6W7	
A0A077D8Q3	
A0A088BLH8	
A0A096PHQ9	Zm00001d031030_T001;Zm00001d031031_T001;Zm00001d031034_T001;Zm00001d031038_T001;
A0A096PHT2	Zm00001d030274_T001;
A0A096PJX5	Zm00001d029207_T001;
A0A096PLD8	Zm00001d020415_T001;Zm00001d047653_T001;Zm00001d050035_T001;
A0A096PLN9	Zm00001d015469_T001;Zm00001d015469_T002;Zm00001d015469_T003;Zm00001d015469_T004;
A0A096PNH6	Zm00001d033694_T001;
A0A096PNU3	Zm00001d019399_T001;
A0A096PPP7	Zm00001d044133_T003;Zm00001d044133_T004;Zm00001d044133_T005;
A0A096PPT6	Zm00001d027874_T008;
A0A096PQ52	Zm00001d007640_T001;
A0A096PQL5	Zm00001d005881_T001;Zm00001d005881_T002;Zm00001d005881_T003;Zm00001d005881_T004;Zm00001d005881_T007;Zm00001d005881_T008;Zm00001d005881_T011;
A0A096PQM6	Zm00001d028022_T001;Zm00001d028022_T003;
A0A096PQR7	Zm00001d028282_T001;
A0A096PQT0	Zm00001d007204_T004;
A0A096PQY2	Zm00001d044016_T001;
A0A096PR83	Zm00001d020188_T001;Zm00001d020188_T003;
A0A096PRE6	Zm00001d030074_T001;
A0A096PS33	Zm00001d012896_T001;
A0A096PS68	Zm00001d028053_T001;
A0A096PS81	Zm00001d042442_T002;Zm00001d042442_T003;Zm00001d042442_T004;Zm00001d042442_T005;
A0A096PSC0	Zm00001d035869_T005;Zm00001d035869_T012;Zm00001d035869_T023;
A0A096PSC7	Zm00001d041092_T002;Zm00001d041092_T006;Zm00001d041092_T007;
A0A096PSG5	Zm00001d038769_T007;
A0A096PTJ8	Zm00001d018730_T001;
A0A096PTT2	
A0A096PTT6	Zm00001d042567_T002;Zm00001d042567_T003;
A0A096PUT2	Zm00001d036447_T001;Zm00001d036447_T002;
A0A096PV52	Zm00001d022026_T001;
A0A096PVA7	Zm00001d015785_T003;
A0A096PW72	Zm00001d033985_T001;
A0A096PWH1	Zm00001d038525_T002;Zm00001d038525_T011;
A0A096PWM1	Zm00001d028809_T001;
A0A096PXB1	Zm00001d033378_T003;Zm00001d033378_T004;Zm00001d033378_T006;Zm00001d033378_T007;Zm00001d033378_T009;Zm00001d033378_T016;Zm00001d033378_T018;Zm00001d033378_T019;
A0A096PXB4	Zm00001d044533_T001;Zm00001d044533_T003;
A0A096PXD0	Zm00001d016553_T001;Zm00001d016553_T002;Zm00001d016553_T003;
A0A096PY37	Zm00001d016274_T006;Zm00001d016274_T009;Zm00001d016274_T010;Zm00001d016274_T011;
A0A096PY84	Zm00001d039966_T001;
A0A096PYJ3	Zm00001d038087_T004;
A0A096PYK1	Zm00001d038027_T001;Zm00001d038027_T002;
A0A096PYN4	Zm00001d019907_T024;Zm00001d019907_T039;
A0A096PZ18	Zm00001d013287_T001;
A0A096PZ50	Zm00001d003702_T001;
A0A096PZ87	Zm00001d014383_T006;
A0A096PZK9	Zm00001d044502_T002;
A0A096PZM9	Zm00001d037448_T014;
A0A096PZZ6	
A0A096Q0D7	Zm00001d041951_T001;
A0A096Q111	Zm00001d036305_T004;Zm00001d036305_T010;
A0A096Q1C2	Zm00001d018360_T002;
A0A096Q2M8	Zm00001d002781_T001;Zm00001d002781_T003;Zm00001d002781_T010;Zm00001d002781_T011;Zm00001d002781_T012;Zm00001d002781_T013;Zm00001d002781_T014;Zm00001d002781_T015;Zm00001d002781_T017;Zm00001d002781_T018;
A0A096Q3S5	Zm00001d003227_T001;Zm00001d003227_T005;Zm00001d003227_T006;
A0A096Q3U9	Zm00001d003616_T024;
A0A096Q402	Zm00001d018642_T004;Zm00001d018642_T006;Zm00001d018642_T007;
A0A096Q418	Zm00001d007897_T014;Zm00001d018884_T006;Zm00001d018884_T007;Zm00001d018884_T009;Zm00001d018884_T010;Zm00001d018884_T011;Zm00001d018884_T015;
A0A096Q4M3	Zm00001d036558_T001;
A0A096Q578	Zm00001d028736_T001;
A0A096Q5A1	Zm00001d038173_T002;
A0A096Q6I3	Zm00001d029783_T004;
A0A096Q6P9	Zm00001d002215_T001;Zm00001d002229_T001;
A0A096Q745	Zm00001d037045_T010;Zm00001d037045_T026;
A0A096Q886	Zm00001d007900_T002;Zm00001d007900_T003;Zm00001d007900_T004;
A0A096Q8A7	Zm00001d029608_T007;Zm00001d029608_T008;Zm00001d029608_T011;
A0A096Q9E4	Zm00001d031782_T001;
A0A096Q9L0	Zm00001d018375_T001;Zm00001d018375_T006;
A0A096Q9Q0	
A0A096QAD0	Zm00001d006647_T001;Zm00001d006647_T002;Zm00001d006647_T003;Zm00001d006647_T004;Zm00001d006647_T005;
A0A096QAE9	Zm00001d018837_T001;
A0A096QB26	Zm00001d013184_T001;
A0A096QBA8	Zm00001d021420_T001;
A0A096QBS7	Zm00001d030231_T001;Zm00001d030231_T002;
A0A096QBV3	Zm00001d033111_T001;Zm00001d033111_T005;
A0A096QCE5	Zm00001d027856_T001;
A0A096QCT0	Zm00001d035628_T002;
A0A096QD74	Zm00001d029548_T012;
A0A096QDT8	Zm00001d034166_T017;Zm00001d034166_T028;
A0A096QE31	Zm00001d043075_T013;Zm00001d043075_T019;
A0A096QE47	Zm00001d042654_T003;
A0A096QEP8	Zm00001d015114_T001;
A0A096QEU3	Zm00001d016080_T001;Zm00001d016080_T002;Zm00001d016080_T003;Zm00001d016080_T004;Zm00001d016080_T005;Zm00001d016080_T007;Zm00001d016080_T008;Zm00001d016080_T009;
A0A096QFX2	Zm00001d030868_T003;Zm00001d030868_T004;Zm00001d030868_T005;Zm00001d030868_T006;Zm00001d030868_T007;Zm00001d030868_T008;Zm00001d030868_T009;Zm00001d030868_T010;
A0A096QGQ9	Zm00001d027317_T001;Zm00001d027317_T005;Zm00001d027317_T008;Zm00001d027317_T010;Zm00001d027317_T017;Zm00001d027317_T019;Zm00001d027317_T029;Zm00001d027317_T031;
A0A096QHD4	Zm00001d020399_T002;Zm00001d020399_T005;Zm00001d020399_T006;Zm00001d020399_T008;
A0A096QHI7	Zm00001d033490_T001;Zm00001d033490_T004;Zm00001d033490_T005;Zm00001d033490_T006;
A0A096QHL5	Zm00001d014187_T001;Zm00001d014187_T002;Zm00001d014187_T005;Zm00001d014187_T007;Zm00001d014187_T011;Zm00001d014187_T012;
A0A096QI23	Zm00001d028654_T001;Zm00001d028654_T002;Zm00001d028654_T003;
A0A096QI54	Zm00001d038709_T003;
A0A096QIT2	Zm00001d043012_T016;Zm00001d043012_T017;
A0A096QJ49	Zm00001d020457_T001;
A0A096QJK8	Zm00001d006553_T001;
A0A096QKD0	Zm00001d003653_T001;Zm00001d003653_T002;
A0A096QKK3	Zm00001d039727_T001;Zm00001d039727_T002;Zm00001d039727_T003;
A0A096QKW6	Zm00001d019718_T001;
A0A096QKX5	Zm00001d020438_T004;Zm00001d020438_T006;
A0A096QKY4	Zm00001d040169_T001;
A0A096QL71	Zm00001d027536_T003;Zm00001d027536_T008;
A0A096QLF3	Zm00001d004139_T003;
A0A096QLU9	Zm00001d044469_T001;Zm00001d044469_T002;Zm00001d044469_T003;Zm00001d044469_T006;Zm00001d044469_T008;
A0A096QLV7	Zm00001d040192_T001;
A0A096QN59	Zm00001d015744_T001;
A0A096QNK8	Zm00001d030999_T001;Zm00001d030999_T002;
A0A096QNN6	Zm00001d018316_T004;Zm00001d018316_T008;Zm00001d018316_T009;Zm00001d018316_T011;Zm00001d018316_T028;
A0A096QP84	Zm00001d032830_T001;Zm00001d032830_T005;Zm00001d032830_T006;Zm00001d032830_T008;Zm00001d032830_T009;Zm00001d032830_T010;Zm00001d032830_T011;Zm00001d032830_T012;
A0A096QP96	Zm00001d020794_T001;
A0A096QP97	Zm00001d020175_T001;
A0A096QPX3	Zm00001d043842_T007;
A0A096QQ51	Zm00001d021861_T001;Zm00001d021861_T007;
A0A096QQL3	Zm00001d043965_T001;
A0A096QQZ7	Zm00001d007401_T011;Zm00001d007401_T021;Zm00001d007401_T028;Zm00001d007401_T030;
A0A096QR66	Zm00001d034826_T001;Zm00001d034826_T003;Zm00001d034826_T008;Zm00001d034826_T010;Zm00001d034826_T011;
A0A096QRA0	Zm00001d016933_T001;
A0A096QRE7	Zm00001d042279_T001;
A0A096QRJ7	Zm00001d021169_T004;Zm00001d021169_T005;Zm00001d021169_T006;Zm00001d021169_T007;Zm00001d021169_T008;
A0A096QRK7	Zm00001d017065_T001;
A0A096QRL3	Zm00001d014887_T001;Zm00001d014887_T004;Zm00001d014887_T005;
A0A096QRL6	Zm00001d014887_T002;
A0A096QRS2	Zm00001d040164_T001;Zm00001d040164_T002;
A0A096QRT2	Zm00001d017067_T001;Zm00001d017067_T003;
A0A096QRW1	Zm00001d021784_T001;
A0A096QRZ7	Zm00001d035040_T002;Zm00001d035040_T003;
A0A096QSF5	Zm00001d044195_T006;Zm00001d044195_T012;Zm00001d044195_T016;Zm00001d044195_T019;
A0A096QSQ3	Zm00001d019808_T001;
A0A096QT08	Zm00001d013847_T001;Zm00001d013847_T002;
A0A096QTB8	Zm00001d041855_T003;
A0A096QUD1	Zm00001d036233_T001;Zm00001d036233_T002;
A0A096QUG1	Zm00001d000143_T001;Zm00001d000143_T002;
A0A096QUT4	Zm00001d037816_T001;Zm00001d037816_T002;
A0A096QUY8	Zm00001d044478_T001;Zm00001d044478_T007;Zm00001d044478_T010;Zm00001d044478_T012;Zm00001d044478_T014;Zm00001d044478_T026;Zm00001d044478_T029;Zm00001d044478_T030;Zm00001d044478_T033;Zm00001d044478_T035;Zm00001d044478_T038;Zm00001d044478_T039;Zm00001d044478_T041;Zm00001d044478_T050;Zm00001d044478_T054;
A0A096QVF7	Zm00001d043259_T001;
A0A096QVQ0	Zm00001d003156_T001;Zm00001d027651_T001;
A0A096QWG4	Zm00001d015856_T021;
A0A096QX45	Zm00001d014249_T001;
A0A096QXB7	Zm00001d037211_T001;
A0A096QXX7	
A0A096QY66	Zm00001d039674_T001;
A0A096QYB9	Zm00001d016347_T002;
A0A096QYG3	Zm00001d027607_T001;
A0A096QYL8	Zm00001d032165_T009;Zm00001d032165_T012;
A0A096QZD3	Zm00001d037975_T001;Zm00001d037975_T006;Zm00001d037975_T008;Zm00001d037975_T010;Zm00001d037975_T012;Zm00001d037975_T018;Zm00001d037975_T023;Zm00001d037975_T029;Zm00001d037975_T030;Zm00001d037975_T034;Zm00001d037975_T039;Zm00001d037975_T043;Zm00001d037975_T044;
A0A096QZE5	Zm00001d032931_T003;
A0A096QZR2	Zm00001d034439_T001;
A0A096QZU0	Zm00001d040301_T011;
A0A096R0K1	Zm00001d038318_T007;Zm00001d038318_T008;Zm00001d038318_T011;
A0A096R0S2	Zm00001d034428_T001;
A0A096R1A2	Zm00001d021181_T001;Zm00001d021181_T002;Zm00001d021181_T005;
A0A096R1K6	Zm00001d014138_T005;Zm00001d014138_T013;
A0A096R205	Zm00001d018131_T002;Zm00001d018131_T003;
A0A096R239	Zm00001d021903_T002;Zm00001d021903_T003;Zm00001d021903_T004;
A0A096R2B1	Zm00001d012821_T001;Zm00001d012821_T004;Zm00001d012821_T007;Zm00001d012821_T009;
A0A096R382	Zm00001d034074_T004;Zm00001d034074_T008;Zm00001d034074_T009;Zm00001d034074_T013;Zm00001d034074_T018;
A0A096R410	Zm00001d003151_T001;Zm00001d003151_T008;Zm00001d003151_T010;Zm00001d003151_T012;Zm00001d003151_T013;Zm00001d003151_T015;Zm00001d003155_T001;Zm00001d003155_T005;Zm00001d003155_T008;Zm00001d003155_T010;Zm00001d003155_T011;Zm00001d003155_T012;Zm00001d003155_T013;
A0A096R476	Zm00001d013578_T001;
A0A096R4D2	Zm00001d034964_T001;Zm00001d034964_T022;Zm00001d034964_T025;Zm00001d034964_T027;Zm00001d034964_T030;Zm00001d034964_T036;Zm00001d034964_T048;Zm00001d034964_T063;Zm00001d034964_T083;Zm00001d034964_T088;
A0A096R5P3	Zm00001d007117_T002;
A0A096R5Z7	Zm00001d028660_T004;Zm00001d028660_T006;Zm00001d028660_T016;
A0A096R654	Zm00001d016238_T001;Zm00001d016238_T002;Zm00001d016238_T014;Zm00001d016238_T015;
A0A096R6D0	Zm00001d007594_T001;
A0A096R6F6	Zm00001d020875_T001;
A0A096R6U6	Zm00001d032659_T005;Zm00001d032659_T007;Zm00001d032659_T008;Zm00001d032659_T010;Zm00001d032659_T016;Zm00001d032659_T019;Zm00001d032659_T020;
A0A096R6Z8	Zm00001d033591_T001;
A0A096R7Z5	Zm00001d042585_T001;Zm00001d042585_T003;
A0A096R869	Zm00001d032961_T005;Zm00001d032961_T008;Zm00001d032961_T009;Zm00001d032961_T018;Zm00001d032961_T021;
A0A096R995	Zm00001d012832_T001;Zm00001d012832_T002;Zm00001d012832_T004;
A0A096R9A5	Zm00001d021050_T001;Zm00001d021050_T004;
A0A096R9U6	Zm00001d034872_T001;Zm00001d034872_T002;
A0A096RAT4	Zm00001d015758_T002;Zm00001d015758_T003;
A0A096RAV0	Zm00001d013146_T001;
A0A096RB21	Zm00001d021314_T005;
A0A096RBT2	Zm00001d039264_T001;
A0A096RC05	Zm00001d015889_T001;
A0A096RC11	Zm00001d036963_T001;
A0A096RCZ1	Zm00001d036422_T005;Zm00001d036422_T008;Zm00001d036422_T010;Zm00001d036422_T013;
A0A096RDK9	Zm00001d020835_T015;Zm00001d020835_T022;Zm00001d020835_T027;
A0A096RDL4	Zm00001d040363_T001;
A0A096RF31	Zm00001d031887_T001;
A0A096RF35	Zm00001d007754_T001;Zm00001d007754_T002;
A0A096RF51	Zm00001d007755_T001;Zm00001d007755_T002;
A0A096RFC0	Zm00001d004931_T001;
A0A096RFI7	Zm00001d017755_T001;Zm00001d017755_T002;Zm00001d017755_T006;Zm00001d017755_T011;
A0A096RFR6	Zm00001d039518_T002;
A0A096RFT3	Zm00001d039294_T006;
A0A096RG04	Zm00001d039387_T001;Zm00001d039387_T002;
A0A096RG90	Zm00001d018984_T001;
A0A096RGU9	Zm00001d003438_T001;
A0A096RHL5	Zm00001d042191_T001;
A0A096RII5	Zm00001d022177_T001;
A0A096RIV3	Zm00001d005636_T001;Zm00001d005636_T003;
A0A096RK27	Zm00001d028265_T001;Zm00001d028265_T003;Zm00001d028265_T005;Zm00001d028265_T008;
A0A096RK86	Zm00001d028585_T001;
A0A096RKC4	Zm00001d039620_T002;Zm00001d039620_T003;
A0A096RKK3	Zm00001d035254_T001;Zm00001d035254_T002;
A0A096RKQ9	Zm00001d036801_T001;
A0A096RKS1	Zm00001d034838_T002;Zm00001d034838_T003;Zm00001d034838_T004;
A0A096RL31	Zm00001d007200_T003;Zm00001d007200_T004;Zm00001d007200_T005;Zm00001d007200_T006;Zm00001d007200_T009;
A0A096RL35	Zm00001d002677_T001;
A0A096RL53	Zm00001d033866_T002;
A0A096RLJ2	Zm00001d041940_T001;
A0A096RLQ7	Zm00001d001913_T002;
A0A096RMF1	Zm00001d005338_T005;Zm00001d005338_T008;
A0A096RMZ2	Zm00001d014037_T007;
A0A096RNP6	Zm00001d007436_T004;Zm00001d007436_T006;Zm00001d007436_T007;
A0A096RNZ9	Zm00001d032464_T001;Zm00001d032464_T003;Zm00001d032464_T021;Zm00001d032464_T022;Zm00001d032464_T038;Zm00001d032464_T045;
A0A096RP22	Zm00001d043406_T001;Zm00001d043406_T002;
A0A096RPT1	
A0A096RQ68	Zm00001d027630_T001;Zm00001d027630_T003;
A0A096RQJ0	Zm00001d031050_T001;Zm00001d031050_T002;
A0A096RQV1	Zm00001d030997_T001;
A0A096RRB4	Zm00001d036977_T001;
A0A096RRD4	Zm00001d029044_T002;Zm00001d029044_T003;
A0A096RRR4	Zm00001d003680_T004;Zm00001d003683_T006;Zm00001d004839_T006;Zm00001d004841_T003;Zm00001d028622_T003;
A0A096RSD2	Zm00001d021267_T002;
A0A096RSH8	Zm00001d040580_T001;
A0A096RSU8	Zm00001d040221_T002;Zm00001d040221_T006;
A0A096RT54	Zm00001d004794_T001;
A0A096RT68	Zm00001d043699_T001;
A0A096RU22	Zm00001d038927_T002;Zm00001d038927_T003;
A0A096RU32	
A0A096RUK1	Zm00001d031316_T009;Zm00001d031316_T017;
