PathwayID	SubPathways	Reactions
CHLOROPHYLL-SYN		"RXN-5285"" // ""RXN-5282"" // ""RXN-5283"" // ""RXN-5284"" // ""RXN0-1461"" // ""RXN-MG-PROTOPORPHYRIN-METHYLESTER-SYN"" // ""RXN1F-20"" // ""UROGENDECARBOX-RXN"" // ""PROTOPORGENOXI-RXN"
3-Chlorobenzoate-Degradation		
3-Chlorocatechol-Degradation		
3-Dehydroquinate-Biosynthesis		
PWY-6164		"DAHPSYN-RXN"" // ""3-DEHYDROQUINATE-SYNTHASE-RXN"
3-OH-4-Methyl-Anthranilate-Biosynthesis		
PWY-5389		R146-RXN
PWY-6352		"RXN-10938"" // ""2.7.1.150-RXN"" // ""1-PHOSPHATIDYLINOSITOL-3-KINASE-RXN"" // ""2.7.1.153-RXN"" // ""2.7.1.68-RXN"" // ""2.7.1.154-RXN"" // ""2.7.8.11-RXN"" // ""1-PHOSPHATIDYLINOSITOL-KINASE-RXN"
PWY-7497		"RXN-15533"" // ""RXN-15532"" // ""RXN-15531"
PWY-6890		"PYRIMSYN1-RXN"" // ""PYRIMSYN3-RXN"
HMP-PP-Biosynthesis		
PWY-6543		"ADCLY-RXN"" // ""PABASYN-RXN"
4-Aminobutyraye-Degradation		
PWY-6535		"SUCCINATE-SEMIALDEHYDE-DEHYDROGENASE-RXN"" // ""GABATRANSAM-RXN"
PWY-6473		"SUCCINATE-SEMIALDEHYDE-DEHYDROGENASE-RXN"" // ""RXN-6902"
4-Hydroxybenzoate-Biosynthesis		
PWY-5754		"TYROSINE-AMINOTRANSFERASE-RXN"" // ""HYDROXYPHENYLPYRUVATE-REDUCTASE-RXN"" // ""4-COUMARATE--COA-LIGASE-RXN"" // ""3.1.2.23-RXN"" // ""RXN3O-1120"" // ""RXN3O-1118"
PWY-5886		TYROSINE-AMINOTRANSFERASE-RXN
p-Nitrophenol-Degradation		
4-Nitrotoluene-Degradation		
4-Toluenesulfonate-Degradation		
DMB-Biosynthesis		
AIR-Biosynthesis		
PWY-6121		"AIRS-RXN"" // ""FGAMSYN-RXN"" // ""GART-RXN"" // ""GLYRIBONUCSYN-RXN"" // ""PRPPAMIDOTRANS-RXN"
PWY-7101		"RXN-13645"" // ""RXN-13644"" // ""RXN-13643"" // ""RXN-13642"" // ""RXN-13641"
6-HM-Dihydropterin-PP-Biosynthesis		
PWY-6147		"GTP-CYCLOHYDRO-I-RXN"" // ""H2NEOPTERINP3PYROPHOSPHOHYDRO-RXN"" // ""DIHYDRONEOPTERIN-MONO-P-DEPHOS-RXN"" // ""H2NEOPTERINALDOL-RXN"" // ""H2PTERIDINEPYROPHOSPHOKIN-RXN"
PWY-7642		RXN-16465
7-Keto-8-aminopelargonate-Biosynthesis		
PWY-5408		"RXN-8503"" // ""RXN-8502"" // ""RXN-8497"" // ""RXN-8495"
PWY-695		"RXN1F-155"" // ""RXN-8074"" // ""RXN-698"" // ""1.2.3.14-RXN"" // ""1.1.1.288-RXN"
Abscisic-Acid-Biosynthesis		
Abscisic-Acid-Degradation		
Abscisic-Acid-Derivative-Biosynthesis		
Acetaldehyde-Biosynthesis		
PWY-6333		ALCOHOL-DEHYDROG-RXN
PWY-6330		RXN-6161
PWY0-1313		ACETATE--COA-LIGASE-RXN
Acetone-Degradation		
Acetyl-CoA-Biosynthesis		
PWY-5172		ATP-CITRATE-PRO-S--LYASE-RXN
Acid-Resistance		
Acrylonitrile-Degradation		
Activation		
Activation-Inactivation-Interconversion		
PWY-6012		"HOLO-ACP-SYNTH-RXN"" // ""3.1.4.14-RXN"
PWY-5142		RXN-7902
PWY-5148		THIOESTER-RXN
ACYLSUGAR-BIOSYNTHESIS		
ACYLSUGAR-DEGRADATION		
Adenine-Adenosine-Salvage		
PWY-6605		"ADENOSINE-NUCLEOSIDASE-RXN"" // ""ADENPRIBOSYLTRAN-RXN"
PWY-6619		ADENOSINE-KINASE-RXN
PWY-7227		"DADPKIN-RXN"" // ""ADPREDUCT-RXN"
Adenosine-Deoxy-Denovo-Bbiosynthesis		
Adenosine-Nucleotides-Degradation		
PWY-6596		"RXN-7682"" // ""RXN0-901"" // ""RXN0-363"" // ""INOSINE-NUCLEOSIDASE-RXN"" // ""RXN-7607"" // ""XMPXAN-RXN"" // ""IMP-DEHYDROG-RXN"" // ""AMP-DEAMINASE-RXN"
PWY-7219		"ATPSYN-RXN"" // ""ADENYL-KIN-RXN"" // ""AMPSYN-RXN"" // ""ADENYLOSUCCINATE-SYNTHASE-RXN"
Adenosylcobalamin-Biosynthesis		
B12-Biosynthesis-From-Cobyrinate-Diamide		
B12-Salvage-From-Cobinamide		
ADP-Sugar-Biosynthesis		
AEROBIC-RESPIRATION		
PWY-3781		"CYTOCHROME-C-OXIDASE-RXN"" // ""NADH-DEHYDROG-A-RXN"" // ""SUCCINATE-DEHYDROGENASE-UBIQUINONE-RXN"" // ""1.10.2.2-RXN"
PWY-4302		"NADH-DEHYDROG-A-RXN"" // ""SUCCINATE-DEHYDROGENASE-UBIQUINONE-RXN"" // ""RXN-6883"
PWY-5343		"RXN-8287"" // ""RXN-8285"" // ""RXN-8286"
Alcohol-Degradation		
Aldehyde-Degradation		
Alginate-Biosynthesis		
ALKALOIDS-SYN		
ALKALOIDS		
Alkanes-Biosynthesis		
Alkene-Degradation		
Alkenes-Biosynthesis		
PWY-6859		"RXN-8617"" // ""FPPSYN-RXN"" // ""IPPISOM-RXN"" // ""GPPSYN-RXN"
All-Trans-Farnesyl-PP-Biosynthesis		
Allantoin-degradation		
PWY-5692	PWY-5698	"ALLANTOATE-DEIMINASE-RXN"" // ""ALLANTOINASE-RXN"" // ""URUR-RXN"" // ""UREIDOGLYCOLATE-HYDROLASE-RXN"
PWY-5697		"ALLANTOICASE-RXN"" // ""ALLANTOINASE-RXN"
PWY-5698		"URUR-RXN"" // ""ALLANTOATE-DEIMINASE-RXN"" // ""ALLANTOINASE-RXN"
Alpha-Linolenate-Biosynthesis		
PWY-5997		"RXN-9667"" // ""RXN-16046"
Polyamine-Biosynthesis		
AMINE-DEG		
AMINE-SYN		
Amino-Acid-Biosynthesis		
Amino-Acid-Degradation		
Aminoacyl-tRNAs-Charging		
Aminopropanol-Phosphate-Biosynthesis		
Ammonia-Assimilation		
PWY-6963		"GLUTAMATE-SYNTHASE-NADH-RXN"" // ""GLUTAMINESYN-RXN"
PWY-6964		"GLUTAMATE-SYNTHASE-FERREDOXIN-RXN"" // ""GLUTAMINESYN-RXN"
Ammonia-oxidation		
ANAEROBIC-RESPIRATION		
PWY-5125		"RXN-17677"" // ""2.4.1.115-RXN"
ANTHOCYANIN-SYN		
PWY-6079		1.14.12.1-RXN
Antibiotic-Biosynthesis		
Antibiotic-Resistance		
ANTIBIOTIC-DEGRADATION		
PWY-7253		"RXN-14427"" // ""RXN-14426"" // ""RXN-14425"
APOCAROTENOID-SYN		
Arachidonate-Biosynthesis		
PWY-7601		"RXN-8346"" // ""RXN-16099"" // ""RXN-16098"" // ""RXN-16097"" // ""RXN-16096"" // ""RXN-16095"" // ""RXN-16094"
AROMATIC-COMPOUNDS-BIOSYN		
AROMATIC-COMPOUNDS-DEGRADATION		
Arsenate-Detoxification		
PWY-4621		"3.6.3.16-RXN"" // ""RXN-982"
PWY-4601		1.20.99.1-RXN
Ascorbate-Biosynthesis		
PWY-2261		"RXN-3523"" // ""RXN-3522"" // ""RXN-3521"" // ""1.8.5.1-RXN"
Atrazine-Degradation		
Aurachin-Biosynthesis		
AURONE-SYN		
Autoinducer-Biosynthesis		
Autotrophic-CO2-Fixation		
Auxin-Biosynthesis		
PWY-6115		"CYCLOARTENOL-SYNTHASE-RXN"" // ""RXN-7570"
PWY-7214		"RXN-14240"" // ""RXN-11760"
PWY-7212		"RXN-14238"" // ""RXN-11760"" // ""RXN-11755"" // ""RXN-14237"
Benzoate-Biosynthesis		
PWY-6446	PWY-6457	"RXN-2001"" // ""PHENYLALANINE-AMMONIA-LYASE-RXN"" // ""BENZALDEHYDE-DEHYDROGENASE-NAD+-RXN"" // ""RXN-11278"" // ""RXN-2002"
Benzoate-Degradation		
PWY-7468		RXN-11660
Benzoyl-CoA-Degradation		
Bergamotene-Biosynthesis		
PWY-6243		RXN-8621
Beta-Alanine-Biosynthesis		
PWY-4021		"RXN-6461"" // ""RXN-6462"" // ""RXN-6464"
PWY-3981		"RXN-6382"" // ""RXN-6381"
PWY-3941		"2.6.1.18-RXN"" // ""PROPCOASYN-RXN"" // ""3-HYDROXYPROPIONATE-DEHYDROGENASE-RXN"" // ""RXN-6384"" // ""RXN-6383"" // ""PROPIONATE--COA-LIGASE-RXN"
Beta-Alanine-Degradation		
PWY-5943		"RXN1F-150"" // ""RXN1F-151"
PWY-6275		"RXN-8432"" // ""RXN-8415"" // ""RXN-8414"
Betaine-Biosynthesis		
BETALAIN-ALKALOIDS		
Bile-Acids-Degradation		
Bioluminescence		
Biosynthesis		
BIOTIN-SYN		
PWY0-1507		"DAPASYN-RXN"" // ""2.8.1.6-RXN"" // ""DETHIOBIOTIN-SYN-RXN"
PWY0-1264		"RXN0-5055"" // ""BIOTIN-CARBOXYL-RXN"" // ""RXN-7101"" // ""BIOTINLIG-RXN"
PWY-699		"RXN-16173"" // ""RXN-16172"" // ""RXN-16171"" // ""RXN-11535"" // ""RXN-11536"" // ""RXN-4241"" // ""RXN-779"" // ""RXN-778"" // ""RXN-777"" // ""RXN-776"" // ""RXN-775"" // ""RXN-774"" // ""RXN-773"" // ""RXN-720"" // ""RXN-719"" // ""RXN-718"" // ""RXN-717"" // ""RXN-716"" // ""RXN-715"" // ""RXN-714"" // ""RXN-713"" // ""RXN-712"" // ""RXN-711"" // ""RXN-710"" // ""RXN-709"
PWY-2582		"RXN-776"" // ""RXN-775"" // ""RXN-11534"" // ""RXN-11533"" // ""RXN-11532"" // ""RXN-11531"" // ""RXN-11530"" // ""RXN-11529"" // ""RXN-11101"" // ""RXN-4230"" // ""RXN-4231"" // ""RXN-774"" // ""RXN-773"" // ""RXN-712"" // ""RXN-711"" // ""RXN-710"" // ""RXN-709"" // ""RXN-4229"" // ""RXN-4228"" // ""RXN-4226"" // ""RXN-4225"
Brassinosteroid-Biosynthesis		
PWY-6546		"RXN-10876"" // ""RXN-10875"" // ""RXNQT-4397"" // ""RXNQT-4398"" // ""RXN-11541"" // ""RXN-11540"
Butanediol-Biosynthesis		
PWY-6602		"RXN-14076"" // ""RXN-14075"" // ""RXN-14069"" // ""RXN-11686"" // ""RXN-11685"" // ""RXN-11684"
PWY-7188		"RXN-14082"" // ""RXN-14081"" // ""RXN-14080"" // ""RXN-14079"" // ""RXN-14078"" // ""RXN-14077"
PWY-7189		"RXN-14088"" // ""RXN-14087"" // ""RXN-14086"" // ""RXN-14085"" // ""RXN-14084"" // ""RXN-14083"
C1-COMPOUNDS		
PWY-241		"RXN0-5224"" // ""MALATE-DEHYDROGENASE-NADP+-RXN"" // ""PYRUVATEORTHOPHOSPHATE-DIKINASE-RXN"" // ""MALIC-NADP-RXN"" // ""PEPCARBOX-RXN"
PWY-7117		"RXN0-5224"" // ""MALIC-NADP-RXN"" // ""PYRUVATEORTHOPHOSPHATE-DIKINASE-RXN"" // ""ALANINE-AMINOTRANSFERASE-RXN"" // ""RXN-13698"" // ""MALATE-DEHYDROGENASE-NADP+-RXN"" // ""ASPAMINOTRANS-RXN"" // ""RXN-13697"" // ""PEPCARBOX-RXN"" // ""PEPCARBOXYKIN-RXN"
PWYQT-4433		"2-CARBOXY-D-ARABINITOL-1-PHOSPHATASE-RXN"" // ""RXNQT-4148"" // ""RXNQT-4147"" // ""RXNQT-4146"
Caffeine-Biosynthesis		
CAFFEINE		
PWY-6673		"2.3.1.98-RXN"" // ""RXN-2622"" // ""RXN-1126"
CALVIN-PWY		"RIB5PISOM-RXN"" // ""PHOSPHORIBULOKINASE-RXN"" // ""RIBULP3EPIM-RXN"" // ""SEDOHEPTULOSE-BISPHOSPHATASE-RXN"" // ""2TRANSKETO-RXN"" // ""1TRANSKETO-RXN"" // ""F16BDEPHOS-RXN"" // ""SEDOBISALDOL-RXN"" // ""F16ALDOLASE-RXN"" // ""TRIOSEPISOMERIZATION-RXN"" // ""1.2.1.13-RXN"" // ""PHOSGLYPHOS-RXN"" // ""RIBULOSE-BISPHOSPHATE-CARBOXYLASE-RXN"
Camphor-Biosynthesis		
Camphor-Degradation		
Carbohydrates-Biosynthesis		
Carbohydrates-Degradation		
Carbon-disulfide-degradation		
Carbon-tetrachloride-degradation		
CARBOXYLATES-DEG		
Cardiolipin-Biosynthesis		
PWY-5269		"RXN-8141"" // ""PGPPHOSPHA-RXN"" // ""PHOSPHAGLYPSYN-RXN"
CARN-DEG		
PWY-6806		"RXN-12394"" // ""RXN-12395"" // ""RXN-12396"" // ""RXN-8469"" // ""RXN-8236"" // ""RXN-7886"" // ""RXN-7885"" // ""RXN-7884"" // ""RXN-7883"" // ""RXN-12393"" // ""RXN-10741"
CAROTENOID-SYN		
Carotenoid-Degradation		
Carrageenan-Degradation		
Carveol-Degradation		
Catechol-Degradation		
CDP-diacylglycerol-Biosynthesis		
PWY-5667		"GLYC3PDEHYDROGBIOSYN-RXN"" // ""RXN-1381"" // ""RXN-1623"" // ""CDPDIGLYSYN-RXN"
PWY0-1319		"RXN-10462"" // ""1-ACYLGLYCEROL-3-P-ACYLTRANSFER-RXN"" // ""GLYC3PDEHYDROGBIOSYN-RXN"" // ""CDPDIGLYSYN-RXN"
CDP-Sugar-Biosynthesis		
Cell-Structure-Biosynthesis		
Cell-Wall-Biosynthesis		
PWY-1001		CELLULOSE-SYNTHASE-UDP-FORMING-RXN
Cellulose-Degradation		
PWY-6483		"RXN-11377"" // ""RXN-11376"" // ""RXN-11375"
CHALCONE-SYN		
CHEMOAUTOTROPHIC-ENERGY-METABOLISM		
Chitin-Degradation		
PWY-6902		"TRANS-RXN-323"" // ""RXN-12626"" // ""RXN-12625"" // ""RXN-12623"" // ""3.2.1.14-RXN"
CHLORINATED-COMPOUNDS-DEG		
Chloroaromatic-Compounds-Degradation		
Chlorobenzene-Degradation		
Chlorobenzoate-Degradation		
Chlorocatechol-Degradation		
PWY-6039		"1.14.13.36-RXN"" // ""CAFFEOYL-COA-O-METHYLTRANSFERASE-RXN"" // ""RXN-2622"" // ""RXN-2601"" // ""RXN-2621"" // ""RXN-2581"" // ""2.3.1.133-RXN"
PWY-6040		"1.14.13.36-RXN"" // ""RXN-2601"" // ""2.3.1.133-RXN"" // ""RXN-2581"
Chlorophyll-a-Biosynthesis		
PWY-5086		"RXN-5286"" // ""RXN1F-66"
Chlorophyll-A-Degradation		
PWY-5098		"RXN-17253"" // ""RXN-17252"" // ""3.1.1.82-RXN"" // ""RXN-7739"" // ""RXN-7741"" // ""RXN-7738"
PWY-6927		"RXN-17252"" // ""RXN-17253"" // ""RXN-7741"" // ""RXN-8357"" // ""RXN-8378"
Chlorophyll-Biosynthesis		
PWY-5068		"RXN-7679"" // ""RXN-7678"" // ""RXN-7677"" // ""RXN-7676"" // ""RXN-7674"" // ""RXN1F-66"
Chlorophyllide-a-Biosynthesis		
Chlorotoluene-Degradation		
Cholesterol-Degradation		
Choline-Biosynthesis		
PWY-3385		"RXN-5647"" // ""RXN-5643"" // ""RXN-5642"" // ""2.1.1.103-RXN"" // ""ETHANOLAMINE-KINASE-RXN"" // ""RXN-5641"
PWY-3542		"RXN-5763"" // ""RXN-5762"" // ""RXN-5761"
PWY-3561		"RXN-5781"" // ""PHOSCHOL-RXN"" // ""2.7.7.15-RXN"
Choline-Degradation		
Chorismate-Biosynthesis		
PWY-6163		"RXN-7968"" // ""3-DEHYDROQUINATE-DEHYDRATASE-RXN"" // ""SHIKIMATE-5-DEHYDROGENASE-RXN"" // ""SHIKIMATE-KINASE-RXN"" // ""2.5.1.19-RXN"" // ""CHORISMATE-SYNTHASE-RXN"
ARO-PWY	PWY-6164	"RXN-7968"" // ""3-DEHYDROQUINATE-DEHYDRATASE-RXN"" // ""SHIKIMATE-5-DEHYDROGENASE-RXN"" // ""SHIKIMATE-KINASE-RXN"" // ""2.5.1.19-RXN"" // ""CHORISMATE-SYNTHASE-RXN"" // ""DAHPSYN-RXN"" // ""3-DEHYDROQUINATE-SYNTHASE-RXN"
PWY-5968		CINNAMATE-GLUCOSYLTRANSFERASE-RXN
CINNAMATE-SYN		
PWY-5973		"RXN-9558"" // ""RXN-9557"" // ""RXN-9556"" // ""2.3.1.179-RXN"" // ""RXN-9555"
PWY-2781		"RXN0-6274"" // ""RXN-4545"" // ""RXN-4541"" // ""RXN-4542"" // ""RXN-4544"
PWY-7205		"RXN-11832"" // ""CDPKIN-RXN"
PWY-1269		"RXN-16804"" // ""DARAB5PISOM-RXN"" // ""KDO-8PSYNTH-RXN"" // ""KDO-8PPHOSPHAT-RXN"" // ""CPM-KDOSYNTH-RXN"
CMP-KDO-Biosynthesis		
PWY-5111		"CPM-KDOSYNTH-RXN"" // ""KDO-8PPHOSPHAT-RXN"" // ""KDO-8PSYNTH-RXN"
CMP-Legionaminate-Biosynthesis		
CMP-N-Acetylneuraminate-Biosynthesis		
PWY-6144		1.14.18.2-RXN
CMP-Sugar-Biosynthesis		
CO2-Fixation		
PWYQT-4429		"RXN0-5224"" // ""PEPCARBOX-RXN"
Cobyrinate-diamide-Biosynthesis		
Cobalamin-Biosynthesis		
CoA-Biosynthesis		
COA-PWY		"P-PANTOCYSLIG-RXN"" // ""P-PANTOCYSDECARB-RXN"" // ""DEPHOSPHOCOAKIN-RXN"" // ""PANTEPADENYLYLTRAN-RXN"
Coenzyme-M-Biosynthesis		
Cofactor-Biosynthesis		
COFACTOR-DEGRADATION		
PWY-116		"CONIFERIN-BETA-GLUCOSIDASE-RXN"" // ""2.4.1.111-RXN"
Conjugated-Fatty-Acid-Biosynthesis		
PWY-6540		"RXN-15461"" // ""RXN-15460"" // ""RXN-15459"" // ""RXN-15458"" // ""RXN-11527"" // ""RXN-8971"" // ""RXN-8970"" // ""RXN-8969"" // ""RXN-8962"
PWY-5176		"RXN-8037"" // ""RXN-8036"" // ""RXN-8035"" // ""2.4.1.114-RXN"" // ""TRANS-CINNAMATE-2-MONOOXYGENASE-RXN"
COUMARIN-PHYTOALEXINS		
COUMARIN-SYN		
Creatinine-Degradation		
PWY-6257		"RXN-10599"" // ""RXN-10598"" // ""RXN-10597"
PWY-282		"RXNQT-4193"" // ""RXNQT-4192"" // ""RXN-1025"" // ""RXN-1023"" // ""RXN-1022"" // ""RXN-1021"
PWY-321		"RXN-16389"" // ""RXN-16398"" // ""PALMITOYL-COA-HYDROLASE-RXN"" // ""RXN-16417"" // ""RXN-16416"" // ""RXN-9666"" // ""RXN-16400"" // ""RXN-1065"" // ""RXN-9802"" // ""RXN-9807"" // ""RXN-9806"" // ""RXN-9805"" // ""RXN-9804"" // ""RXN-9803"" // ""RXN-1064"" // ""RXN-1062"
CYANCAT-PWY		"R524-RXN"" // ""RXN0-5224"" // ""RXN0-5222"
P401-PWY		L-3-CYANOALANINE-SYNTHASE-RXN
Cyanide-Detoxification		
ASPSYNII-PWY		"3.5.5.4-RXN"" // ""3-CYANOALANINE-HYDRATASE-RXN"" // ""L-3-CYANOALANINE-SYNTHASE-RXN"
PWY-7464		"RXN-15374"" // ""RXN-15373"" // ""RXN-15372"
CYANOGENIC-GLUCOSIDE-SYN		
CYANOGENIC-GLUCOSIDE-DEG		
CYCLITOLS		
Cyclitols-Biosynthesis		
CYCLITOLS-DEG		
CYCLOPEPTIDES		
PWY0-541		2.1.1.79-RXN
Cyclopropane-fatty-acid-biosyn		
PWY-2902		"RXN-4737"" // ""RXN-4735"" // ""RXN-4726"" // ""RXN-4723"
PWY-2881		"RXN-4736"" // ""RXN-4733"" // ""RXN-4731"" // ""RXN-4729"" // ""RXN-4727"" // ""RXN-4724"" // ""RXN-4721"
PWY-2901		"RXN-4734"" // ""RXN-4732"" // ""RXN-4730"" // ""RXN-4728"" // ""RXN-4725"" // ""RXN-4722"
CYTOKININ-BIOSYNTHESIS		
PWY-2841		"RXN-4681"" // ""RXN-4662"" // ""RXN-4661"" // ""RXN-4641"" // ""RXN-4621"
CYTOKININS-DEGRADATION		
D-Amino-Acid-Degradation		
D-Arabinose-Degradation		
D-Galactarate-Degradation		
PWY-6317		"PHOSPHOGLUCMUT-RXN"" // ""ALDOSE1EPIM-RXN"" // ""UDPGLUCEPIM-RXN"" // ""GALACTURIDYLYLTRANS-RXN"" // ""GALACTOKIN-RXN"
PWY-3821		"UDPGLUCEPIM-RXN"" // ""UTPHEXPURIDYLYLTRANS-RXN"" // ""GALACTOKIN-RXN"
D-Galacturonate-Degradation		
D-Glucarate-Degradation		
D-Glucuronate-Degradation		
MANNCAT-PWY		MANNPISOM-RXN
PWY-6351		"2.7.1.149-RXN"" // ""3.1.4.11-RXN"" // ""2.7.8.11-RXN"" // ""1-PHOSPHATIDYLINOSITOL-KINASE-RXN"" // ""2.7.1.68-RXN"
PWY-6363		"RXN-10952"" // ""3.1.3.56-RXN"" // ""3.1.3.57-RXN"
PWY-6367		"3.1.4.11-RXN"" // ""RXN-9779"" // ""RXN-10958"" // ""2.7.1.149-RXN"
PWY0-1535		"RXN-15127"" // ""RXN-15124"" // ""RXN-15581"
De-Novo-Adenosylcobalamin-Biosynthesis		
Degradation		
Other-Degradation		
PWY-5946		RXN1F-147
Demethylmenaquinone-Biosynthesis		
Demethylmenaquinol-6-Biosynthesis		
Demethylmenaquinol-8-Biosynthesis		
Denitrification		
Detoxification		
PWY-6786		"ALLYL-ALCOHOL-DEHYDROGENASE-RXN"" // ""RXN-12281"" // ""RXN0-4281"" // ""RXN-12300"" // ""RXN-12299"" // ""RXN-12297"" // ""RXN-12296"" // ""RXN-12295"" // ""RXN-12293"" // ""RXN-12292"
PWY-861		"RXN-18144"" // ""1.14.13.42-RXN"" // ""RXN-12240"" // ""RXN-7749"" // ""RXN-7748"" // ""RXN-743"" // ""TYROSINE-N-MONOOXYGENASE-RXN"
PWY-5976		"HYDROXYMANDELONITRILE-LYASE-RXN"" // ""RXN-9588"
TRIGLSYN-PWY		"RXN-12959"" // ""RXN-12383"" // ""RXN-1641"" // ""RXN-1623"" // ""RXN-1381"" // ""DIACYLGLYCEROL-O-ACYLTRANSFERASE-RXN"" // ""PHOSPHATIDATE-PHOSPHATASE-RXN"
PWY-6804		"RXN-12386"" // ""RXN-5781"
PWY-6949		"RXN-7021"" // ""RXN0-2381"" // ""RXN-6683"" // ""RXN-6684"" // ""RXN-6681"" // ""RXN-6682"
Dichlorotoluene-Degradation		
PWY-4441		RXN-7082
PWY-6950		"RXN-6685"" // ""RXN-6687"
Dimethylsulfide-Degradation		
Dimethylsulfoniopropionate-Biosynthesis		
Dimethylsulfoniopropionate-Degradation		
Dinitrotoluene-Degradation		
Dipeptide-Biosynthesis		
PWY-6482		"RXN-14326"" // ""RXN-11371"" // ""DIPHTINE--AMMONIA-LIGASE-RXN"
PWY-7546		"RXN-15775"" // ""RXN-15776"" // ""RXN-11371"" // ""DIPHTINE--AMMONIA-LIGASE-RXN"
PWY-2981		"RXN-7788"" // ""RXN-15440"" // ""RXN-15439"" // ""RXN-15438"" // ""RXN-15437"" // ""RXN-9291"" // ""RXN-8528"" // ""RXN-4881"" // ""RXN-4884"" // ""RXN-4883"" // ""RXN-4882"" // ""5.5.1.13-RXN"
DITERPENOID-SYN		
Divinyl-Ether-Biosynthesis		
Docosahexaenoate-Biosynthesis		
PWY-3221		"DTDPGLUCOSEPP-RXN"" // ""DTDPGLUCDEHYDRAT-RXN"" // ""RXN-5461"
dTDP-L-Rhamnose-Biosynthesis		
dTDP-Sugar-Biosynthesis		
Electron-Transfer		
ELLAGITANNINS		
PWY-5032		"4.2.3.19-RXN"" // ""5.5.1.13-RXN"
Entner-Duodoroff-Pathways		
EPIDERMAL-STRUCTURE		
Epoxy-Fatty-Acids-Biosynthesis		
PWY-5670		"RXN-13162"" // ""SQUALENE-MONOOXYGENASE-RXN"
Ergosterol-Biosynthesis		
Ergothioneine-Biosynthesis		
Erythritol-Degradation		
PWY-7120		RXN-10749
Ethanol-Degradation		
PWY66-21		"ACETATE--COA-LIGASE-RXN"" // ""RXN66-3"" // ""ALCOHOL-DEHYDROG-RXN"
Ethylene-Biosynthesis		
ETHYL-PWY		"ETHYL-RXN"" // ""4.4.1.14-RXN"" // ""S-ADENMETSYN-RXN"
PWY-5859		"RXN-9246"" // ""RXN-9245"" // ""RXN-9244"
PWY-6498		"RXN-11444"" // ""RXN-11408"" // ""DOPACHROME-DELTA-ISOMERASE-RXN"" // ""RXN-11406"" // ""RXN-11404"" // ""RXN-11403"
PWY-6577		"FARNESOL-DEHYDROGENASE-RXN"" // ""RXN-11626"" // ""RXN-11625"" // ""RXN-11623"
PWY-2501		"RXN-4142"" // ""RXN-4141"" // ""RXN-4122"" // ""RXN-4121"
Lipid-Biosynthesis		
Fatty-Acid-and-Lipid-Degradation		
PWY-5136		"RXN-11026"" // ""KETOACYLCOATHIOL-RXN"" // ""OHACYL-COA-DEHYDROG-RXN"" // ""ENOYL-COA-HYDRAT-RXN"" // ""ACYLCOASYN-RXN"
PWY-5137		ENOYL-COA-DELTA-ISOM-RXN
PWY-6837		"RXN-7836"" // ""RXN-12521"" // ""RXN-12520"" // ""RXN-12519"" // ""RXN-12518"
Fatty-acid-biosynthesis		
PWY-6799		"MALONYL-COA-ACP-TRANSACYL-RXN"" // ""RXN-12360"" // ""RXN-12359"" // ""RXN-12361"
