ReactionID	Genes
RXN-12883	GDQC-12233 // GDQC-11376 // GDQC-11129 // GDQC-10546 // GDQC-9239 // GDQC-9212 // GDQC-8946 // GDQC-8934
RXN-12880	GDQC-12233 // GDQC-11376 // GDQC-11129 // GDQC-10546 // GDQC-9239 // GDQC-9212 // GDQC-8946 // GDQC-8934
RXN-15452	
RXN-4881	
RXN-12593	
4.2.3.19-RXN	GDQC-12837 // GDQC-10548 // GDQC-9682
RXN-7788	GDQC-12930 // GDQC-9453
RXN-4884	GDQC-8314
RXN-10435	GDQC-14308 // GDQC-10425 // GDQC-9845 // GDQC-8662 // GDQC-8550
RXN-10454	
RXN-8684	GDQC-13559 // GDQC-11455
--MENTHOL-DEHYDROGENASE-RXN	GDQC-14840 // GDQC-12689 // GDQC-11136 // GDQC-8763 // GDQC-7743
RXN-8683	GDQC-14108 // GDQC-11903
RXN-13433	GDQC-10786 // GDQC-13157
RXN-8680	GDQC-13157 // GDQC-10786
RXN-13397	GDQC-7804 // GDQC-8110 // GDQC-8159 // GDQC-8531 // GDQC-8739 // GDQC-9571 // GDQC-10089 // GDQC-10203 // GDQC-10611 // GDQC-10683 // GDQC-10840 // GDQC-10987 // GDQC-11085 // GDQC-11427 // GDQC-11721 // GDQC-11905 // GDQC-12082 // GDQC-12317 // GDQC-12709 // GDQC-14094 // GDQC-14498 // GDQC-14587
RXN-4842	GDQC-14587 // GDQC-14498 // GDQC-14094 // GDQC-12709 // GDQC-12317 // GDQC-12082 // GDQC-11905 // GDQC-11721 // GDQC-11427 // GDQC-11085 // GDQC-10987 // GDQC-10840 // GDQC-10683 // GDQC-10611 // GDQC-10203 // GDQC-10089 // GDQC-9571 // GDQC-8739 // GDQC-8531 // GDQC-8159 // GDQC-8110 // GDQC-7804
3.2.1.84-RXN	GDQC-14405 // GDQC-12338 // GDQC-11736 // GDQC-8761
GALACTURAN-14-ALPHA-GALACTURONIDASE-RXN	GDQC-14902 // GDQC-14559 // GDQC-14444 // GDQC-14236 // GDQC-14174 // GDQC-13694 // GDQC-13368 // GDQC-13330 // GDQC-13028 // GDQC-12445 // GDQC-12227 // GDQC-12121 // GDQC-11849 // GDQC-11613 // GDQC-11605 // GDQC-11534 // GDQC-11461 // GDQC-11400 // GDQC-11199 // GDQC-10714 // GDQC-10460 // GDQC-10457 // GDQC-10192 // GDQC-10028 // GDQC-9790 // GDQC-9277 // GDQC-8879 // GDQC-8055 // GDQC-7960 // GDQC-7901 // GDQC-7820 // GDQC-7809
2.4.1.43-RXN	GDQC-14931 // GDQC-14855 // GDQC-14775 // GDQC-14746 // GDQC-14745 // GDQC-14365 // GDQC-14119 // GDQC-14075 // GDQC-13922 // GDQC-13887 // GDQC-13688 // GDQC-13549 // GDQC-13509 // GDQC-13165 // GDQC-13131 // GDQC-13051 // GDQC-12512 // GDQC-12462 // GDQC-12264 // GDQC-12235 // GDQC-12173 // GDQC-11619 // GDQC-11419 // GDQC-10776 // GDQC-10579 // GDQC-10176 // GDQC-10134 // GDQC-10111 // GDQC-9924 // GDQC-9803 // GDQC-9644 // GDQC-9485 // GDQC-9199 // GDQC-9183 // GDQC-9012 // GDQC-8661 // GDQC-8476 // GDQC-7761 // GDQC-7710 // GDQC-7703
RXN-2103	GDQC-14946 // GDQC-14444 // GDQC-14236 // GDQC-14134 // GDQC-13674 // GDQC-13321 // GDQC-13278 // GDQC-13245 // GDQC-13103 // GDQC-12641 // GDQC-12455 // GDQC-12121 // GDQC-11849 // GDQC-11775 // GDQC-11534 // GDQC-11461 // GDQC-11411 // GDQC-11400 // GDQC-11334 // GDQC-11199 // GDQC-10897 // GDQC-10656 // GDQC-10489 // GDQC-10460 // GDQC-10457 // GDQC-10416 // GDQC-10369 // GDQC-10157 // GDQC-10028 // GDQC-9238 // GDQC-9101 // GDQC-8879 // GDQC-8370 // GDQC-7752 // GDQC-7734 // GDQC-7647
MALTODEXGLUCOSID-RXN	GDQC-14684 // GDQC-13902 // GDQC-13685 // GDQC-12289 // GDQC-11685
RXN0-5184	GDQC-14156 // GDQC-9359
3.2.1.68-RXN	GDQC-14588 // GDQC-14327 // GDQC-14272 // GDQC-13138 // GDQC-13000 // GDQC-12901 // GDQC-11341 // GDQC-11274 // GDQC-11256 // GDQC-8861 // GDQC-8664 // GDQC-8063
RXN-16098	
RXN-12141	
HYDROHEX-RXN	GDQC-12251
RXN-13290	
RXN-12718	GDQC-13669 // GDQC-12131 // GDQC-11119 // GDQC-10849 // GDQC-9333
O-SUCCINYLBENZOATE-COA-SYN-RXN	GDQC-14646 // GDQC-13464 // GDQC-12487 // GDQC-9578
RXN0-2381	G-7841 // G-7842 // GDQC-14813 // GDQC-14414 // GDQC-14241 // GDQC-13421 // GDQC-12080 // GDQC-11772 // GDQC-11379 // GDQC-9161 // GDQC-9063 // GDQC-8592 // GDQC-8390 // GDQC-8008
TRYPSYN-RXN	GDQC-8008 // GDQC-8390 // GDQC-8592 // GDQC-9161 // GDQC-11772 // GDQC-14813
RXN-4229	
RXN-11530	GDQC-13861 // GDQC-7748
RXN-4226	
RXN-11529	GDQC-13861 // GDQC-7748
RXN-11534	
RXN-11533	
RXN-11532	
RXN-4228	
RXN-11101	GDQC-13861 // GDQC-7748
RXN-7282	
RXN-16097	
RXN-11619	
FARNESOL-DEHYDROGENASE-RXN	
RXN-12304	GDQC-14074 // GDQC-13244 // GDQC-10167 // GDQC-9128
RXN-11625	GDQC-14074 // GDQC-13244 // GDQC-10167 // GDQC-9128
RXN-13748	GDQC-12850
RXN-11527	
RXN-8939	GDQC-13094 // GDQC-9288
RXN-8414	G-11369 // GDQC-11053 // GDQC-9968 // GDQC-9255
RXN-10598	
RXN-8432	GDQC-11618
RXN-8621	G-9837
RXN-8562	GDQC-14390
RXN-8422	GDQC-13657 // GDQC-13472 // GDQC-12858 // GDQC-11238
RXN-8553	
RXN-8429	G-12279 // G-9837 // GDQC-14213 // GDQC-13895 // GDQC-10735 // GDQC-10660 // GDQC-9176
RXN-12837	GDQC-10969 // GDQC-9716 // GDQC-9663 // GDQC-9392
RXN-10597	
RXN-8415	GDQC-14819 // GDQC-14159 // GDQC-13900 // GDQC-12670 // GDQC-11618
RXN-8425	GDQC-11238
RXN-8430	GDQC-14109 // GDQC-11238
RXN-10599	GDQC-8314
RXN-8561	
RXN-8622	GDQC-11238
RXN-12838	GDQC-12752 // GDQC-12043 // GDQC-9716
TRANS-HEXAPRENYLTRANSTRANSFERASE-RXN	GDQC-14436 // GDQC-13176 // GDQC-11441
RXN-9106	
RXN-8999	GDQC-11120
RXN-8648	GDQC-14390
RXN-8617	GDQC-13657 // GDQC-13472
RXN-11575	G-9834 // GDQC-13657 // GDQC-13472
RXN-8616	GDQC-14530 // GDQC-13702 // GDQC-9997 // GDQC-8363
FARNESYLTRANSTRANSFERASE-RXN	GDQC-14694 // GDQC-14451 // GDQC-13163 // GDQC-11914 // GDQC-11281 // GDQC-9433 // GDQC-8799 // GDQC-8270
RXN-11963	GDQC-13701 // GDQC-8601 // GDQC-8279
RXN-11626	
DIHYDROXYISOVALDEHYDRAT-RXN	GDQC-14017 // GDQC-10535
23-DIMETHYLMALATE-LYASE-RXN	GDQC-9970
RXN-3625	GDQC-14844 // GDQC-14614 // GDQC-12856 // GDQC-9646 // GDQC-9557 // GDQC-9223 // GDQC-8539
RXN-13163	GDQC-7924 // GDQC-9357 // GDQC-11267 // GDQC-11747 // GDQC-12783
RXN-8991	GDQC-12783 // GDQC-11747 // GDQC-11267 // GDQC-9357 // GDQC-7924
3-ISOPROPYLMALDEHYDROG-RXN	GDQC-10199 // GDQC-9914 // GDQC-9058
RXN-13158	GDQC-10199 // GDQC-9914 // GDQC-9058
RXN-7800	
RXN-7922	
RXN-7775	
RXN-7687	
RXN-14422	G-15983 // GDQC-14676 // GDQC-9284
RXN-7921	
RXN-7653	
RXN-14077	GDQC-14120 // GDQC-13812 // GDQC-13742 // GDQC-11030 // GDQC-9311 // GDQC-7887
RXN-3283	GDQC-14120 // GDQC-9311
RXN-7686	
NARINGENIN-3-DIOXYGENASE-RXN	
RXN-14425	G-15983 // GDQC-14676 // GDQC-9284
RXN-7652	GDQC-9629 // GDQC-7781
RXN-14069	GDQC-14120 // GDQC-13812 // GDQC-13742 // GDQC-11030 // GDQC-9311 // GDQC-7887
RXN-7650	
RXN-1541	GDQC-14120 // GDQC-13812 // GDQC-13742 // GDQC-11030 // GDQC-9311 // GDQC-7887
RXN-7773	GDQC-9542
RXN-7648	
RXN-14083	GDQC-14120 // GDQC-13812 // GDQC-13742 // GDQC-11030 // GDQC-9311 // GDQC-7887
RXN-7689	
4.1.2.20-RXN	GDQC-9366
1.1.1.178-RXN	
RXN-14014	GDQC-13215 // GDQC-11886 // GDQC-8343
RXN-15121	
RXN-13463	
3.7.1.9-RXN	GDQC-12586
MHPCHYDROL-RXN	GDQC-14621
RXN-12070	GDQC-14621
PSERTRANSAMPYR-RXN	GDQC-11795
RXN-13302	
RXN-13303	
RXN-13305	
RXN-13304	
RXN-9545	
3-HYDROXBUTYRYL-COA-DEHYDRATASE-RXN	GDQC-11869
BHBDCLOS-RXN	GDQC-11869
RXN-16096	
RXN-3562	GDQC-13928 // GDQC-8757
RXN-8681	GDQC-13157 // GDQC-10786
RXN-8619	
RXN-7570	GDQC-14904 // GDQC-11215 // GDQC-9772 // GDQC-9197
CYCLOARTENOL-SYNTHASE-RXN	GDQC-14170 // GDQC-11090 // GDQC-10601 // GDQC-10352 // GDQC-10117 // GDQC-10057 // GDQC-9120 // GDQC-7782
RXN-12843	GDQC-14918 // GDQC-12304 // GDQC-11896 // GDQC-9313
RXN-14392	GDQC-12488 // GDQC-11764 // GDQC-10496 // GDQC-7952
RXN-11911	
RXN-13968	
RXN3O-4113	
RXN-712	
RXN-4230	GDQC-14740 // GDQC-11841 // GDQC-11228
RXN-9031	GDQC-13316
RXN-714	
RXN-4505	GDQC-14111
RXN-17809	
RXN-9807	
RXN-8502	GDQC-11578
3.1.3.76-RXN	GDQC-13175 // GDQC-11575
RXN-12135	
RXN-1349	
RXN-12140	
RXN-9617	GDQC-12862 // GDQC-9039
RXN-9618	GDQC-14799 // GDQC-13161 // GDQC-13132 // GDQC-9925 // GDQC-9614 // GDQC-8560 // GDQC-7745 // GDQC-7714
ALLENE-OXIDE-CYCLASE-RXN	GDQC-13362 // GDQC-13250
RXN-12142	
RXN-8911	GDQC-11761 // GDQC-11539 // GDQC-11365 // GDQC-8936
RXN-14166	
RXN-12299	GDQC-8172
TIGLYLCOA-HYDROXY-RXN	
RXN-5066	GDQC-8624
RXN-12297	GDQC-8172
RXN0-884	GDQC-14688
ISPH2-RXN	GDQC-14688
RXN-18144	GDQC-13793 // GDQC-9723 // GDQC-8396
1.14.13.68-RXN	GDQC-13793 // GDQC-9723 // GDQC-8396
RXN-14070	
RXN-2002	
RXN-12064	
RXN-1403	
RXNDQC-2	GDQC-14384 // GDQC-13609 // GDQC-13558 // GDQC-12285 // GDQC-12177 // GDQC-11873 // GDQC-11754 // GDQC-11303 // GDQC-11171 // GDQC-10925 // GDQC-10449 // GDQC-9882 // GDQC-9189 // GDQC-8821 // GDQC-8558 // GDQC-8291 // GDQC-8209 // GDQC-8119 // GDQC-7760
EXOPOLYPHOSPHATASE-RXN	GDQC-7668
DIHYDROXYMETVALDEHYDRAT-RXN	
RXN-14932	GDQC-8460
RXN-7633	
RXN-7626	
RXN-9557	
RXN-14275	
RXN-11210	
P-PANTOCYSLIG-RXN	GDQC-12936 // GDQC-11208
LACTALDEHYDE-OXI-RXN	
DLACTDEHYDROGFAD-RXN	GDQC-13598
MANDELONITRILE-LYASE-RXN	GDQC-14431
RXN-14056	
MEVALONATE-KINASE-RXN	GDQC-11995 // GDQC-10989 // GDQC-10303
RXN-15648	GDQC-9724
PHOSPHOMEVALONATE-KINASE-RXN	GDQC-7712
DIPHOSPHOMEVALONTE-DECARBOXYLASE-RXN	GDQC-10562 // GDQC-8218 // GDQC-7775
RXN-12752	GDQC-11545
RXN-13142	GDQC-11545
PANTOTHENATE-KIN-RXN	GDQC-12997 // GDQC-8765
GLYOXII-RXN	GDQC-13229
ALLANTOINASE-RXN	GDQC-13417 // GDQC-11058 // GDQC-7939
RXN-7183	GDQC-12460
SPONTPRO-RXN	
PYRROLINECARBREDUCT-RXN	GDQC-10768 // GDQC-9266
PYRROLINECARBDEHYDROG-RXN	GDQC-12460
RXN0-7005	
RXN-4821	
DIHYDROPICRED-RXN	GDQC-8343 // GDQC-13215
ACETOOHBUTREDUCTOISOM-RXN	
RXN-6081	
ACETOLACTREDUCTOISOM-RXN	GDQC-12888 // GDQC-11847 // GDQC-10890 // GDQC-10391 // GDQC-9784 // GDQC-8844 // GDQC-7664
RXN-8173	
RXN-14536	GDQC-14073 // GDQC-13664 // GDQC-12935 // GDQC-11756
2-HYDROXYGLUTARATE-DEHYDROGENASE-RXN	GDQC-14822 // GDQC-13010 // GDQC-9105 // GDQC-8460
HYDROXYMETHYLGLUTARYL-COA-LYASE-RXN	GDQC-14461 // GDQC-8801
1.1.1.34-RXN	GDQC-14086 // GDQC-13941 // GDQC-13864 // GDQC-12594 // GDQC-12072 // GDQC-11396 // GDQC-11019 // GDQC-10983 // GDQC-10797 // GDQC-10270 // GDQC-9647 // GDQC-8846 // GDQC-7898
3-HYDROXYISOBUTYRATE-DEHYDROGENASE-RXN	GDQC-12788 // GDQC-10625 // GDQC-10361 // GDQC-9163
3-HYDROXYISOBUTYRYL-COA-HYDROLASE-RXN	GDQC-11538 // GDQC-10791 // GDQC-10125 // GDQC-10055 // GDQC-10035 // GDQC-9535 // GDQC-9127 // GDQC-8645 // GDQC-8354 // GDQC-8174 // GDQC-7886
5.1.2.3-RXN	GDQC-14570 // GDQC-11869 // GDQC-11295 // GDQC-8422
RXN-11667	
RXN-11662	GDQC-11450
RXN-12490	
RXN-12570	
METHYLVALERATE-RXN	GDQC-13613 // GDQC-13082
2KETO-3METHYLVALERATE-RXN	GDQC-13613 // GDQC-13082
GSAAMINOTRANS-RXN	GDQC-10313
HYDROXYMANDELONITRILE-LYASE-RXN	
RXN-12898	GDQC-8990
RXN-11903	G-12279 // GDQC-14213 // GDQC-13895 // GDQC-10735 // GDQC-10660 // GDQC-9176
RXN-12656	
RXN-8180	
2.1.1.140-RXN	GDQC-14357 // GDQC-10286 // GDQC-10280 // GDQC-8561 // GDQC-7694
RXN-9315	GDQC-14357 // GDQC-10286 // GDQC-8561
RXN0-6554	
RXN0-6491	
DIHYDROOROTATE-DEHYDROGENASE-RXN	GDQC-11564
LACTALDDEHYDROG-RXN	
RXN-12165	
1.1.1.39-RXN	GDQC-12288 // GDQC-11393
MALATE-DEH-RXN	GDQC-14870 // GDQC-13709 // GDQC-13623 // GDQC-11742 // GDQC-11451 // GDQC-11142 // GDQC-10972 // GDQC-9928 // GDQC-9804 // GDQC-9791 // GDQC-8448 // GDQC-7892
MALIC-NADP-RXN	me1 // GDQC-108581 // GDQC-14700 // GDQC-14112 // GDQC-13022 // GDQC-12650 // GDQC-12623 // GDQC-12576 // GDQC-11405 // GDQC-9900 // GDQC-9862 // GDQC-9094 // GDQC-9044 // GDQC-8014 // GDQC-7940 // ME1
RXN-11213	
RXN-13076	GDQC-13624 // GDQC-12100 // GDQC-11606
RXN-8632	
RXN-12678	GDQC-12112
RXN-9314	
RETICULINE-OXIDASE-RXN	GDQC-12851 // GDQC-12718 // GDQC-12028 // GDQC-9272
RXN-15538	
1.14.21.2-RXN	
RXN-11428	GDQC-13863 // GDQC-12299 // GDQC-11398 // GDQC-9869 // GDQC-8996 // GDQC-7885
RXN-14168	
RXN-1346	
RXN-1347	
RXN-12300	GDQC-8172
RXN-14072	
RXN-12292	GDQC-11193
RXN-12240	GDQC-13793 // GDQC-9723 // GDQC-8396
R146-RXN	GDQC-14907 // GDQC-11727 // GDQC-10310 // GDQC-10300 // GDQC-7915
R147-RXN	GDQC-14907 // GDQC-12829 // GDQC-11727 // GDQC-10310 // GDQC-10300 // GDQC-9084 // GDQC-9017 // GDQC-8250 // GDQC-7915
RXN-15065	
RXN-15455	
RXN-15454	GDQC-12584
3.2.1.39-RXN	GDQC-14989 // GDQC-14970 // GDQC-14945 // GDQC-14935 // GDQC-14816 // GDQC-14814 // GDQC-14613 // GDQC-14395 // GDQC-14377 // GDQC-14373 // GDQC-14267 // GDQC-14078 // GDQC-13914 // GDQC-13782 // GDQC-13536 // GDQC-13439 // GDQC-13079 // GDQC-12835 // GDQC-12636 // GDQC-12588 // GDQC-12562 // GDQC-12395 // GDQC-12372 // GDQC-12286 // GDQC-12198 // GDQC-11950 // GDQC-11945 // GDQC-11899 // GDQC-11851 // GDQC-11593 // GDQC-11592 // GDQC-11352 // GDQC-11342 // GDQC-11252 // GDQC-11095 // GDQC-11065 // GDQC-11051 // GDQC-11036 // GDQC-10811 // GDQC-10699 // GDQC-10564 // GDQC-10331 // GDQC-10322 // GDQC-10172 // GDQC-10144 // GDQC-9864 // GDQC-9860 // GDQC-9802 // GDQC-9719 // GDQC-9712 // GDQC-9637 // GDQC-8976 // GDQC-8968 // GDQC-8700 // GDQC-8696 // GDQC-8674 // GDQC-8564 // GDQC-8344 // GDQC-8287 // GDQC-8150 // GDQC-7756 // GDQC-7706 // GDQC-7677 // GDQC-7650
3.2.1.58-RXN	GDQC-14593 // GDQC-13816 // GDQC-11633 // GDQC-11015 // GDQC-10355 // GDQC-9897 // GDQC-8857 // GDQC-8853 // GDQC-8208 // GDQC-7985
1.2.1.13-RXN	GDQC-14696 // GDQC-13181 // GDQC-10044 // GDQC-9880 // GDQC-9182 // GDQC-7880
RXN-9311	GDQC-13819 // GDQC-11870 // GDQC-8086 // GDQC-7645
RXN-6424	
RXN-6425	
PGPPHOSPHA-RXN	GDQC-13815 // GDQC-13644 // GDQC-12474 // GDQC-10778 // GDQC-9446 // GDQC-9403 // GDQC-8487
PRIBFAICARPISOM-RXN	GDQC-12092 // GDQC-9098
HISTCYCLOHYD-RXN	GDQC-13166
HISTPRATPHYD-RXN	GDQC-13166
RXN-8441	
IGPSYN-RXN	GDQC-14641 // GDQC-13714 // GDQC-8340
RXN-8365	GDQC-13937 // GDQC-11866 // GDQC-8604
RXN-15066	GDQC-13365 // GDQC-10584
RXN-8363	GDQC-9670
RXN-1728	
RXN-8294	GDQC-9670
RXN-14912	GDQC-14223 // GDQC-11880 // GDQC-8336 // GDQC-8298
RXN-8302	GDQC-9670
RXN-8296	GDQC-9670
RXN-8303	GDQC-13937 // GDQC-11866 // GDQC-8604
RXN-8298	GDQC-9670
RXN-8300	GDQC-9670
RXN-8364	GDQC-13937 // GDQC-11866 // GDQC-8604
RXN-8304	
RXN-8295	GDQC-13937 // GDQC-11866 // GDQC-8604
RXN-8305	GDQC-9670
RXN-8297	GDQC-13937 // GDQC-11866 // GDQC-8604
RXN-8306	GDQC-13937 // GDQC-11866 // GDQC-8604
RXN-8299	GDQC-13937 // GDQC-11866 // GDQC-8604
RXN-8301	GDQC-13937 // GDQC-11866 // GDQC-8604
RXN-8313	GDQC-13937 // GDQC-11866 // GDQC-8604
RXN-8310	GDQC-13937 // GDQC-11866 // GDQC-8604
RXN-8367	GDQC-13937 // GDQC-11866 // GDQC-8604
RXN-8366	GDQC-13937 // GDQC-11866 // GDQC-8604
RXN-8314	GDQC-13937 // GDQC-11866 // GDQC-8604
RXN-8368	GDQC-13937 // GDQC-11866 // GDQC-8604
RXN-8307	
RXN-8308	GDQC-9670
RXN-8309	GDQC-13937 // GDQC-11866 // GDQC-8604
RXN-8311	GDQC-13937 // GDQC-11866 // GDQC-8604
RXN-8369	GDQC-13937 // GDQC-11866 // GDQC-8604
RXN-8331	
RXN-8330	
RXN-8319	GDQC-12618 // GDQC-7919
RXN-15149	GDQC-12671 // GDQC-12062 // GDQC-9930
4.1.99.4-RXN	GDQC-12671 // GDQC-12062 // GDQC-9930
GST-RXN	GDQC-13544 // GDQC-12572 // GDQC-12039 // GDQC-11562 // GDQC-8989
RXN-4804	GDQC-12534 // GDQC-12377
DXPREDISOM-RXN	GDQC-13195 // GDQC-12971 // GDQC-12010 // GDQC-8327
RXN-8094	
RXN-2161	GDQC-11505
RXN-1804	GDQC-14824
RXN-1802	
RXN-1727	GDQC-13937 // GDQC-11866 // GDQC-8604
RXN-8325	
RXN-8323	
RXN-8329	
RXN-8321	
RXN-8328	
RXN-8317	GDQC-13937 // GDQC-11866 // GDQC-8604
RXN-8318	GDQC-12618 // GDQC-7919
RXN-8090	
R222-RXN	
RXN-1726	GDQC-9670
RXN-8324	
RXN-8322	
RXN-8326	
RXN-15046	GDQC-11607
RXN-8320	
RXN-8327	
RXN-8316	GDQC-9670
RXN-1725	GDQC-12618 // GDQC-7919
RXN-8361	
RXN-12430	GDQC-13706 // GDQC-11397 // GDQC-10805 // GDQC-8519 // GDQC-7891 // GDQC-7693
RXN-8360	
ACYLGLYCERONE-PHOSPHATE-REDUCTASE-RXN	GDQC-11607
RXN-10036	GDQC-14925 // GDQC-14876 // GDQC-14467 // GDQC-14430 // GDQC-14070 // GDQC-13849 // GDQC-13675 // GDQC-13407 // GDQC-12483 // GDQC-12305 // GDQC-12109 // GDQC-11726 // GDQC-11684 // GDQC-11493 // GDQC-11260 // GDQC-10637 // GDQC-9235 // GDQC-9096 // GDQC-8622 // GDQC-7842
3.1.3.67-RXN	GDQC-7786
RXN-10938	GDQC-14941 // GDQC-14709 // GDQC-14467 // GDQC-14402 // GDQC-14206 // GDQC-13584 // GDQC-12342 // GDQC-11771 // GDQC-11428 // GDQC-10764 // GDQC-10431 // GDQC-8759 // GDQC-8257
RXN-10958	GDQC-9008 // GDQC-7986
2.3.1.166-RXN	GDQC-12378
2.3.1.167-RXN	GDQC-13877
FORMYLTHFGLUSYNTH-RXN	GDQC-13387 // GDQC-9915 // GDQC-9385 // GDQC-8636
RXN-10629	GDQC-9821
2.1.1.119-RXN	
RXN-13363	GDQC-12466
RXN-13628	GDQC-9517
RXN-13506	GDQC-14951 // GDQC-14677 // GDQC-14491 // GDQC-14021 // GDQC-13453 // GDQC-13230 // GDQC-13193 // GDQC-11787 // GDQC-11059 // GDQC-10396 // GDQC-9755 // GDQC-9734 // GDQC-9531 // GDQC-9371 // GDQC-8081 // GDQC-7699
RXN-13492	GDQC-14951 // GDQC-14677 // GDQC-14491 // GDQC-14021 // GDQC-13453 // GDQC-13230 // GDQC-13193 // GDQC-11787 // GDQC-11059 // GDQC-10396 // GDQC-9755 // GDQC-9734 // GDQC-9531 // GDQC-9371 // GDQC-8081 // GDQC-7699
RXN-13491	GDQC-14951 // GDQC-14021 // GDQC-13453 // GDQC-13230 // GDQC-13193 // GDQC-11787 // GDQC-11059 // GDQC-10396 // GDQC-9755 // GDQC-9734 // GDQC-9531 // GDQC-8081 // GDQC-7699
RXN-15384	GDQC-12742 // GDQC-9226
RXN-15402	GDQC-14881 // GDQC-8329
2.1.1.120-RXN	
12-OXOPHYTODIENOATE-REDUCTASE-RXN	GDQC-114576 // GDQC-106317 // GDQC-13796 // GDQC-13035 // GDQC-11437 // GDQC-10937 // GDQC-8609 // GDQC-7644
RXN-1345	GDQC-12251
RXN1F-19	GDQC-111976 // GDQC-12734 // GDQC-12628 // GDQC-10479 // GDQC-9173
RXN-5283	GDQC-11946 // GDQC-11680 // GDQC-9076
RXN-5284	GDQC-11946 // GDQC-11680 // GDQC-9076
RXN66-304	
RXN66-305	
RXN-12244	GDQC-11610 // GDQC-10450 // GDQC-10266
RXN-11355	GDQC-10266 // GDQC-10450 // GDQC-11610
RXN-12410	GDQC-14420
RXN-12243	GDQC-11610 // GDQC-10450 // GDQC-10266
RXN-8023	GDQC-14420
RXN-8225	
RXN-16389	
RXN-9802	GDQC-14457 // GDQC-12821 // GDQC-11254 // GDQC-9483 // GDQC-8338 // GDQC-8206
RXN-16403	
RXN-1062	GDQC-14485 // GDQC-12730 // GDQC-12725 // GDQC-11075 // GDQC-10762 // GDQC-10329 // GDQC-9969 // GDQC-9888 // GDQC-9439 // GDQC-8373
RXN-9803	
RXN-11392	
RXN-11393	
RXN-11391	
RXN-15386	GDQC-12742 // GDQC-9226
RXN66-341	GDQC-10441
4.1.2.30-RXN	GDQC-10441
ESTRADIOL-17-BETA-DEHYDROGENASE-RXN	GDQC-14558 // GDQC-13282 // GDQC-11670 // GDQC-10193 // GDQC-9355 // GDQC-8643 // GDQC-8450 // GDQC-8156
RXN-16402	
RXN-16416	
RXN-16404	
RXN-2121	GDQC-14457 // GDQC-12821 // GDQC-11254 // GDQC-9483 // GDQC-8338 // GDQC-8206
RXN-16117	
RXN-16401	
RXN-16405	
RXN-16417	
RXN-7186	GDQC-13567 // GDQC-12168 // GDQC-12164 // GDQC-11325 // GDQC-8743
RXN-10974	GDQC-13269 // GDQC-12505 // GDQC-11518 // GDQC-9413
RXN0-5408	GDQC-12387 // GDQC-8735
RXN-7253	
RXN-10973	
RXN-7202	
MYO-INOSITOL-1OR-4-MONOPHOSPHATASE-RXN	GDQC-12387 // GDQC-8735
RXN-10952	
RXN-10953	
RXN-10954	
2.7.4.24-RXN	GDQC-13269 // GDQC-12505 // GDQC-11518 // GDQC-9413
RXN-10979	GDQC-11518
RXN-8703	
RXN-8705	
RXN-8704	
RXN-12263	GDQC-13141 // GDQC-8277
RXN-13162	GDQC-8277 // GDQC-13141
RXN-8912	
RXN-1801	
2.3.1.103-RXN	GDQC-10039
RXN-13323	GDQC-8683 // GDQC-8923 // GDQC-9150 // GDQC-10296 // GDQC-11023 // GDQC-12333 // GDQC-13965
RXN-13958	GDQC-14246 // GDQC-11920 // GDQC-11574 // GDQC-11263 // GDQC-8540 // GDQC-8337
PORPHOBILSYNTH-RXN	GDQC-14524
